workload	exp	id_alpha35	id_alpha100
CF	1.0491	0.972	0.8916
BC	0.9314	1.0062	0.9773
PR-Delta	0.9319	1.0032	0.9792
BFSCC	1.01	0.8529	0.766
BFS	0.9318	0.971	0.9443
Radii	1.0401	0.9031	0.8156
Triangle	0.9823	0.9533	0.916
Components	1.0473	0.7741	0.6792
Comp-SC	1.049	0.7875	0.6921
PageRank	1.0313	0.906	0.8002
BFS-BV	1.028	0.8893	0.8146
BellmanFord	0.9379	0.9954	0.9841
MIS	0.8949	0.9733	0.9517
0.0	0.0	0.0	0.0
fotonik3d	1.0272	0.9826	0.9549
mcf	1.0319	0.9916	0.9805
gcc	0.8448	1.0009	0.9945
omnetpp	1.0623	0.9934	0.9699
bwaves	1.0358	0.9369	0.8541
roms	0.99	0.992	0.9696
cactuBSSN	1.022	0.9283	0.8528
wrf	0.9778	0.9444	0.8733
pop2	0.9874	0.9845	0.9473
xalancbmk	1.0011	0.9926	0.9915
0.0	0.0	0.0	0.0
canneal	1.126	0.9795	0.9502
fluida	0.999	0.9967	0.9925
raytrace	0.9832	0.9458	0.9064
facesim	1.0339	0.9646	0.9342
streamc	0.9837	0.8816	0.8055
0.0	0.0	0.0	0.0
add	0.9471	0.9999	0.987
copy	0.9337	1.0093	0.9941
scale	0.9321	0.9933	0.9908
triad	0.9377	1.0011	0.9901
0.0	0.0	0.0	0.0
kmeans	0.9159	1.0003	0.9979
masstree	1.0606	0.9801	0.9339
0.0	0.0	0.0	0.0
LIGRA	0.9881	0.9189	0.8559
SPEC	0.9963	0.9744	0.9373
PARSEC	1.0238	0.9528	0.9155
STREAM	0.9376	1.0009	0.9905
OTHERS	0.9856	0.9902	0.9654
ALL	0.9894	0.9535	0.9096
