workload	th80	th40
fotonik3d	0.9442	0.8988
mcf	0.9314	0.8898
gcc	0.9854	0.972
omnetpp	0.9692	0.9413
bwaves	0.9486	0.9079
roms	0.9893	0.9778
cactuBSSN	0.9192	0.8677
wrf	0.9781	0.9592
pop2	0.9847	0.9719
xalancbmk	0.9965	0.9932
0.0	0.0	0.0
add	0.9829	0.9662
copy	0.9878	0.9754
scale	0.987	0.974
triad	0.9785	0.9594
add_copy	0.9859	0.9724
add_scale	0.9847	0.9711
add_triad	0.9803	0.962
copy_scale	0.9869	0.9753
copy_triad	0.9848	0.9699
scale_triad	0.9833	0.9686
0.0	0.0	0.0
SPEC	0.9643	0.9371
STREAM	0.9842	0.9694
