workload	tRC_1	tRC_2	tRC_4	tRC_8	tRC_16	tRC_32
CF	1.0604	1.0656	1.0415	1.0165	1.0037	0.999
BC	0.9221	0.9583	0.9652	0.983	0.9945	0.9982
PR-Delta	0.9062	0.9461	0.9587	0.9787	0.9926	0.9983
BFSCC	0.9317	0.946	0.9639	0.9823	0.9901	0.9976
BFS	0.9513	0.9701	0.9777	0.9906	0.9958	1.0
Radii	1.0622	1.0511	1.0287	1.0107	1.0013	1.0016
Triangle	1.0143	0.9824	0.974	0.9873	0.997	0.9996
Components	1.0484	1.0326	1.0128	1.003	1.0012	1.0002
Comp-SC	1.0451	1.0295	1.0115	1.0034	1.0012	1.0003
PageRank	1.033	1.0238	1.0121	1.0025	0.9995	0.9987
BFS-BV	1.0378	1.0166	1.0039	1.0011	1.0015	1.0015
BellmanFord	0.9322	0.9525	0.9056	0.9619	0.9873	0.995
MIS	0.9252	0.8992	0.9283	0.9588	0.9759	0.9923
0.0	0.0	0.0	0.0	0.0	0.0	0.0
fotonik3d	1.0345	1.0342	1.0283	1.0121	1.0017	1.0004
mcf	1.0397	1.0314	1.0244	1.0049	1.0054	1.0017
gcc	0.8476	0.8336	0.8165	0.9257	0.968	0.9904
omnetpp	1.0509	1.0755	1.0667	1.0456	1.0212	1.006
bwaves	1.0208	1.0611	1.0509	1.0226	1.0058	0.9983
roms	0.9899	0.9967	0.9898	0.9823	0.9802	0.9969
cactuBSSN	1.0214	1.0279	1.0293	1.0243	1.0105	1.0001
wrf	0.9474	0.9779	0.9851	0.9911	0.9918	0.9972
pop2	0.935	0.9771	0.9917	0.999	0.9953	0.9969
xalancbmk	0.9982	1.0028	1.0032	1.0037	1.0012	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
canneal	1.1191	1.122	1.1038	1.0708	1.0338	1.0077
fluida	1.0013	1.0011	0.9999	0.9996	0.9981	0.9977
raytrace	0.9801	1.0043	0.9916	0.9678	0.9804	0.9956
facesim	1.0282	1.0539	1.0486	1.0333	1.0151	1.0019
streamc	1.008	1.0696	1.0646	1.0436	1.02	1.0047
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.9175	0.958	0.9848	0.9946	0.9987	0.9978
copy	0.8918	0.9546	0.9888	0.9978	0.9973	1.0004
scale	0.8996	0.9531	0.9886	1.0011	0.9981	1.0009
triad	0.9194	0.9584	0.9831	0.9914	0.9967	0.9994
0.0	0.0	0.0	0.0	0.0	0.0	0.0
kmeans	0.9046	0.91	0.962	0.9884	1.0005	1.0021
masstree	1.036	1.0732	1.0614	1.0318	1.0116	1.0023
0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIGRA	0.9882	0.9891	0.9826	0.9906	0.9955	0.9986
SPEC	0.9867	0.9996	0.9962	1.0007	0.998	0.9988
PARSEC	1.0262	1.0492	1.0409	1.0224	1.0093	1.0015
STREAM	0.907	0.956	0.9863	0.9962	0.9977	0.9996
OTHERS	0.9681	0.9882	1.0105	1.0099	1.006	1.0022
ALL	0.9821	0.9968	0.9971	1.0	0.9991	0.9994
