workload	exp_alpha35	exp_alpha100	id_alpha35	id_alpha100	ip	no_mro
CF	1.0625	1.0625	0.9977	0.991	1.0006	1.0
BC	0.9578	0.9578	0.9986	0.9928	1.0	1.0
PR-Delta	0.8889	0.8889	0.998	1.0004	0.9984	1.0
BFSCC	0.9959	0.9959	0.9913	0.9842	0.9968	1.0
BFS	0.8412	0.8412	1.0007	0.9984	1.0	1.0
Radii	1.0082	1.0082	0.9964	0.9899	0.9998	1.0
Triangle	0.9324	0.9324	0.9986	0.998	0.9998	1.0
Components	1.0471	1.0471	0.9898	0.9811	0.994	1.0
Comp-SC	1.0387	1.0387	0.9897	0.9829	0.9961	1.0
PageRank	1.0272	1.0272	0.9979	0.9907	0.9984	1.0
BFS-BV	1.0068	1.0068	0.9952	0.9918	0.9996	1.0
BellmanFord	0.959	0.959	0.9972	0.9986	0.9998	1.0
MIS	0.9501	0.9501	0.9966	0.9897	0.9998	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
fotonik3d	1.0307	1.0307	0.9963	0.9946	0.9998	1.0
mcf	1.0337	1.0337	1.0012	0.9985	1.0007	1.0
gcc	0.8391	0.8391	0.9986	0.999	1.0011	1.0
omnetpp	1.0719	1.0719	0.999	0.9987	0.9995	1.0
bwaves	1.0562	1.0562	0.9926	0.9814	0.999	1.0
roms	0.9925	0.9925	1.0005	0.9974	1.0004	1.0
cactuBSSN	1.0353	1.0353	0.9993	0.996	0.9998	1.0
wrf	1.008	1.008	0.9835	0.9663	0.9936	1.0
pop2	0.9833	0.9833	0.9964	0.989	0.9947	1.0
xalancbmk	1.0038	1.0038	0.998	0.9969	0.9987	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
canneal	1.1242	1.1242	0.9993	0.9981	1.0	1.0
fluida	1.0004	1.0004	0.9997	0.9965	1.0001	1.0
raytrace	1.0017	1.0017	0.9966	0.9859	0.9998	1.0
facesim	1.0342	1.0342	0.9954	0.9905	0.9979	1.0
streamc	1.069	1.069	0.998	0.992	0.9996	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.9535	0.9535	0.9991	0.9936	1.0	1.0
copy	0.9439	0.9439	0.9975	0.9915	1.0	1.0
scale	0.9448	0.9448	0.998	0.9962	1.0	1.0
triad	0.9497	0.9497	0.9991	0.9932	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
kmeans	0.9148	0.9148	1.0001	1.0018	1.0	1.0
masstree	1.0711	1.0711	0.9991	0.9927	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIGRA	0.9761	0.9761	0.996	0.9915	0.9987	1.0
SPEC	1.0034	1.0034	0.9966	0.9917	0.9987	1.0
PARSEC	1.0449	1.0449	0.9978	0.9926	0.9995	1.0
STREAM	0.948	0.948	0.9984	0.9936	1.0	1.0
OTHERS	0.9899	0.9899	0.9996	0.9972	1.0	1.0
ALL	0.9914	0.9914	0.9969	0.9923	0.9991	1.0
